epoch,loss,val_loss
0,168.18431091308594,14.857900619506836
1,14.812251091003418,13.09984016418457
2,13.5285062789917,12.307302474975586
3,12.926275253295898,12.226037979125977
4,12.620892524719238,11.901386260986328
5,12.305624008178711,11.734782218933105
6,11.914385795593262,11.231805801391602
7,11.566696166992188,10.972901344299316
8,11.159168243408203,10.475664138793945
9,10.888510704040527,10.135619163513184
10,10.56930923461914,9.963775634765625
11,10.256595611572266,9.739201545715332
12,9.937946319580078,9.571390151977539
13,9.653066635131836,9.271200180053711
14,9.415807723999023,8.900283813476562
15,9.267068862915039,8.938210487365723
16,9.0311861038208,8.857804298400879
17,8.846320152282715,8.793132781982422
18,8.776656150817871,8.538312911987305
19,8.622702598571777,8.583463668823242
20,8.475168228149414,8.390201568603516
21,8.367673873901367,8.424503326416016
22,8.269376754760742,8.209546089172363
23,8.113463401794434,8.329965591430664
24,7.992517948150635,7.961004734039307
25,7.8826775550842285,7.736760139465332
26,7.774104118347168,7.673696994781494
27,7.630338191986084,7.657969951629639
28,7.593308448791504,7.764066696166992
29,7.518420696258545,7.585955619812012
30,7.458989143371582,7.790455341339111
31,7.369715690612793,7.5420098304748535
32,7.285358905792236,7.482820987701416
33,7.209841728210449,7.291236400604248
34,7.133438587188721,7.431053161621094
35,7.040063381195068,7.400601387023926
36,6.9981842041015625,7.2883687019348145
37,6.902203559875488,7.195769309997559
38,6.937292098999023,6.972599506378174
39,6.780463218688965,7.1454010009765625
40,6.728392124176025,7.3076934814453125
41,6.676391124725342,6.842520236968994
42,6.656580924987793,7.051257133483887
43,6.597189426422119,6.635065078735352
44,6.503926753997803,6.745530128479004
45,6.422425270080566,6.623229026794434
46,6.423061847686768,6.650297164916992
47,6.3404951095581055,6.570677280426025
48,6.295171737670898,6.587599754333496
49,6.2223944664001465,6.468571662902832
50,6.280688762664795,6.54506778717041
51,6.226731777191162,6.625662326812744
52,6.204318523406982,6.678860664367676
53,6.1336541175842285,6.478123188018799
54,6.075080394744873,6.319742679595947
55,5.986403942108154,6.335214614868164
56,5.974722862243652,6.26539945602417
57,5.915587902069092,6.329022407531738
58,5.85457706451416,6.356910705566406
59,5.908388137817383,6.137237548828125
60,5.807615280151367,6.293481826782227
61,5.730282783508301,5.926468372344971
62,5.74360990524292,6.0747199058532715
63,5.6887993812561035,6.0875020027160645
64,5.668665409088135,5.979889869689941
65,5.643623352050781,6.239267349243164
66,5.57751989364624,5.994707107543945
67,5.605399131774902,5.9547953605651855
68,5.510904312133789,6.053483486175537
69,5.465456485748291,5.989387035369873
70,5.471762657165527,5.7738118171691895
71,5.437984943389893,6.066494941711426
72,5.488764762878418,5.957407474517822
73,5.405649662017822,5.7117414474487305
74,5.253754138946533,5.809300899505615
