epoch,loss,val_loss
70,2.884955883026123,2.8711330890655518
71,2.478227138519287,2.751389980316162
72,2.531243324279785,2.9712207317352295
73,2.5344386100769043,3.269564628601074
74,2.4839959144592285,3.103072166442871
75,2.4638571739196777,3.417246103286743
76,2.4326720237731934,2.971924304962158
77,2.4243555068969727,2.8162310123443604
78,2.408670663833618,3.378894567489624
79,2.4111669063568115,2.975084066390991
80,2.224219799041748,2.8332831859588623
81,2.0917885303497314,2.800523042678833
82,2.0727591514587402,2.8696625232696533
83,2.0136420726776123,2.84255313873291
84,1.9932833909988403,2.8322997093200684
85,2.0508623123168945,2.8245835304260254
86,1.9817909002304077,2.850562334060669
87,2.0068519115448,2.8136510848999023
88,2.0051352977752686,2.777221202850342
89,1.9888205528259277,2.833493232727051
90,1.97594153881073,2.805774450302124
91,1.9547423124313354,2.8750505447387695
92,1.927099585533142,2.797362804412842
93,1.9740700721740723,2.8129937648773193
